network,station_code,location_code,latitude,longitude,elevation (m)
TSMIP,D076,KAU076,22.4263,120.5649,17
TSMIP,D077,KAU077,22.7454,120.7317,826
TSMIP,,KAU078,22.7068,120.6465,150
TSMIP,D079,KAU079,22.591,120.6325,89
TSMIP,,KAU080,22.0569,120.7119,5
TSMIP,,KAU081,22.0085,120.7452,25
TSMIP,,KAU082,21.9403,120.7321,62
TSMIP,,KAU083,22.561,120.458,6
TSMIP,D084,KAU084,22.3467,120.3691,38
TSMIP,D085,KAU085,22.884,120.329,28
TSMIP,D086,KAU086,22.7927,120.303,12
TSMIP,,KAU087,22.6119,120.3188,8
TSMIP,D088,KAU088,22.644,120.3187,12
TSMIP,,KAU089,22.4788,120.4111,4
TSMIP,D090,KAU090,22.5895,120.4158,12
TSMIP,D091,KAU091,21.9009,120.855,33
TSMIP,,KAU092,22.554,120.315,4
TSMIP,,KAU093,22.5925,120.3593,5
TSMIP,,KAU095,22.6929,120.4901,28
TSMIP,D097,KAU097,22.1767,120.838,292
TSMIP,,KAU098,21.9598,120.7496,27
TSMIP,,KAU099,22.0748,120.8292,111
TSMIP,,KAU100,22.5936,120.3071,4
TSMIP,D101 ,KAU101,10.3774,114.365,8
TSMIP,,KAU102,22.6417,120.2618,346
TSMIP,D103,KAU103,22.6269,120.3047,11
TSMIP,D104,KAU104,22.6905,120.2926,21
TSMIP,D105,KAU105,22.9394,120.4603,75
TSMIP,D106,KAU106,22.6229,120.313,12
TSMIP,D107,KAU107,22.6238,120.2822,12
TSMIP,D108,KAU108,22.8143,120.2242,4
TSMIP,D109,KAU109,22.9114,120.1987,5
TSMIP,D110,KAU110,22.6084,120.272,6
TSMIP,D111,KAU111,22.6769,120.526,27
TSMIP,D112,KAU112,22.5822,120.5445,16
TSMIP,D113,KAU113,22.3679,120.591,2
TSMIP,D114,KAU114,22.5138,120.5112,8
TSMIP,D115,KAU115,22.33,120.6215,11
TSMIP,,KAU116,22.5813,120.3497,6
TSMIP,D117,KAU117,22.2041,120.7519,124
TSMIP,,KAU118,22.8102,120.633,185
TSMIP,,KAU119,22.3508,120.3791,22
TSMIP,D120,KAU120,22.4835,120.5681,38
TSMIP,,KAU121,22.9933,120.6463,266
TSMIP,D122,KAU122,22.7533,120.3352,40
TSMIP,D123,KAU123,22.8855,120.4938,70
TSMIP,,KAU124,22.2163,120.7988,184
TSMIP,,KAU125,22.7053,120.6448,148
TSMIP,D126,KAU126,23.1793,120.7811,624
TSMIP,,KMNB,24.4638,118.3884,43
TSMIP,,KNM,24.4074,118.2892,44
TSMIP,I002,KNM002,24.4075,118.2887,30
TSMIP,I003 ,KNM003,24.457728,118.329547,36
TSMIP,,KSHI,24.7766,121.176,168
TSMIP,,LATB,24.5353,121.5264,1020
TSMIP,,LAY,22.0373,121.5581,324
TSMIP,,LDU,22.6733,121.4693,23
TSMIP,,LIOB,24.6469,121.0162,330
TSMIP,,LONT,22.9064,121.1299,210
TSMIP,,LXIB,24.0211,121.4133,1327
TSMIP,,LYJJ,26.5524,119.765,411
TSMIP,,LYUB,22.0017,121.584,40
TSMIP,,MASB,22.6119,120.6328,139
TSMIP,,MATB,26.1402,119.9291,75
TSMIP,,MHZQ,26.0985,119.033,260
TSMIP,,MND001,24.2317,120.8117,456
TSMIP,,MND002,22.7967,120.3578,47
TSMIP,,MND003,25.0825,121.5377,17
TSMIP,,MND004,22.674,120.2805,14
TSMIP,,MND005,24.255,120.6338,190
TSMIP,,MND006,24.0163,121.623,22
TSMIP,,MND007,24.1482,120.6953,97
TSMIP,,MND008,22.6097,120.3167,19
TSMIP,,MND009,25.0935,121.3882,236
TSMIP,,MND010,24.1795,120.6725,118
TSMIP,,MND011,23.147,120.3538,36
TSMIP,,MND012,22.0507,120.7137,13
TSMIP,,MND013,23.5055,120.8127,2457
TSMIP,,MND014,24.6025,121.8723,16
TSMIP,,MND015,25.0463,121.5912,18
TSMIP,,MND016,23.9773,121.6158,16
TSMIP,,MND017,23.483,120.4547,40
TSMIP,,MND018,23.0122,120.2138,19
TSMIP,,MND019,22.6285,120.2758,79
TSMIP,,MND020,24.8797,121.265,195
TSMIP,,MND021,25.036,121.4208,12
TSMIP,,MND022,22.1648,120.8857,72
TSMIP,,MND023,24.2317,120.6192,194
TSMIP,,MND025,24.0278,121.5888,22
TSMIP,,MND026,24.8013,121.8177,8
TSMIP,,MSU,26.169,119.923,97
TSMIP,J001,MSU001,26.1692,119.923,85
TSMIP,J002 ,MSU002,26.147374,119.939237,75
TSMIP,,MTN104,25.1058,121.5642,243
TSMIP,,MTN105,24.8392,121.5285,210
TSMIP,,MTN106,25.0292,121.8322,66
TSMIP,,MTN107,25.0328,121.8678,32
TSMIP,,MTN109,24.9115,121.376,71
TSMIP,,MTN110,24.9327,121.408,39
TSMIP,,MTN111,24.8722,121.4053,156
TSMIP,,MTN114,25.1753,121.6207,446
TSMIP,,MTN115,25.105,121.8448,424
TSMIP,,MTN116,25.0017,121.7472,271
TSMIP,,MTN117,25.1585,121.4768,241
TSMIP,,MTN118,25.1295,121.4177,364
TSMIP,,MTN120,25.0822,121.436,65
TSMIP,,MTN121,25.0378,121.6412,233
TSMIP,,MTN122,24.8538,121.437,250
TSMIP,,MTN123,24.9337,121.5475,177
TSMIP,,MTN125,24.8375,121.6482,435
TSMIP,,MTN126,25.0133,121.6437,137
TSMIP,,MTN127,24.5905,121.4118,1703
TSMIP,,MTN128,24.5103,121.6113,1860
TSMIP,,MTN129,24.4877,121.4267,808
TSMIP,,MTN130,24.578,121.6762,369
TSMIP,,MTN131,24.591,121.8108,167
TSMIP,,MTN132,24.5753,121.1058,545
TSMIP,,MTN133,24.6252,121.1485,460
TSMIP,H134,MTN134,24.579793,121.303337,545
TSMIP,,MTN135,24.7598,121.5875,692
TSMIP,,MTN136,24.5058,121.1132,2080
TSMIP,,MTN137,24.66,121.3012,750
TSMIP,,MTN138,24.7378,121.35,520
TSMIP,,MTN139,24.6515,121.4748,1150
TSMIP,,MTN140,24.4935,121.5362,1916
TSMIP,,MTN141,24.3175,121.2935,1604
TSMIP,,MTN142,24.777,121.123,623
TSMIP,,MTN143,24.7598,121.1997,546
TSMIP,H145,MTN145,24.1810274,121.3125124,2598
TSMIP,,MTN146,24.2557,121.2598,2052
TSMIP,,MTN147,24.202,121.006,755
TSMIP,,MTN148,24.1707,120.8957,559
TSMIP,,MTN150,24.2268,120.8053,472
TSMIP,,MTN151,24.1852,120.748,262
TSMIP,,MTN152,25.0002,121.5683,71
TSMIP,,MTN153,24.714,121.2692,675
TSMIP,,MTN154,22.996,120.633,261
TSMIP,,MTN155,23.0733,120.673,402
TSMIP,,MTN156,23.2525,120.8197,790
TSMIP,,MTN157,23.277,120.9025,2250
TSMIP,,MTN158,23.2483,120.9862,2302
TSMIP,,MTN159,23.1763,121.2498,263
TSMIP,,MTN160,24.2065,121.4517,1117
TSMIP,,MTN161,24.021,121.1335,1143
TSMIP,,MTN162,24.086,121.1738,2160
TSMIP,,MTN163,24.0067,121.424,393
TSMIP,,MTN164,24.0078,121.416,393
TSMIP,,MTN166,24.123,121.1572,1016
TSMIP,,MTN167,23.9598,121.005,374
TSMIP,,MTN168,24.192,121.3842,2189
TSMIP,,MTN169,24.1482,121.1892,1525
TSMIP,,MTN170,23.7658,120.8557,455
TSMIP,,MTN171,24.0005,121.079,763
TSMIP,,MTN172,24.2475,121.2442,2203
TSMIP,,MTN173,24.2097,121.2295,2484
TSMIP,,MTN174,24.376,121.305,1967
TSMIP,,MTN175,24.3682,121.339,1856
TSMIP,H176,MTN176,24.46528,120.9406,488
TSMIP,,MTN177,24.4108,120.9027,387
TSMIP,H178,MTN178,24.352833,120.8656667,415
TSMIP,,MTN179,24.3598,120.9465,653
TSMIP,,MTN180,24.3885,120.9713,836
TSMIP,,MTN181,24.5353,121.5265,987
TSMIP,,MTN182,24.2328,121.0897,400
TSMIP,,NACB,24.1738,121.5947,130
TSMIP,,NANB,24.4275,121.7498,112
TSMIP,,NASB,10.3772,114.3647,2
TSMIP,,NCU,24.9673,121.1944,134
TSMIP,,NCUB,24.967,121.187,134
TSMIP,,NCUH,24.9679,121.1849,153
TSMIP,,NDS,24.634,121.7168,110
TSMIP,,NDT,24.6025,121.5128,439
TSMIP,,NFF,24.6319,121.1177,655
TSMIP,,NHDH,24.963,121.525,41
TSMIP,,NHW,25.0067,121.0475,133
TSMIP,,NHY,25.0393,121.5693,37
TSMIP,,NJD,24.7358,121.0881,150
TSMIP,,NJN,24.6836,120.8703,5
TSMIP,,NMLH,24.5372,120.791,201
TSMIP,,NNS,24.4374,121.3814,1140
TSMIP,,NNS1,24.4284,121.3829,813
TSMIP,,NNSB,24.4284,121.3828,1102
TSMIP,,NNSH,24.4284,121.3829,1106
TSMIP,,NOU,25.1493,121.7734,43
TSMIP,,NPDK,26.615,118.188,180
TSMIP,,NSK,24.6735,121.3664,682
TSMIP,,NSM,25.2878,121.5886,55
TSMIP,,NST,24.6296,121.0087,164
TSMIP,,NSY,24.4143,120.7696,311
TSMIP,,NTC,24.8544,121.8297,4
TSMIP,,NTS,25.1644,121.4492,16
TSMIP,,NTY,24.9997,121.2976,94
TSMIP,,NWF,25.0715,121.7815,766
TSMIP,,NWL,24.7772,121.5025,397
TSMIP,,NWR,25.2028,121.6601,9
TSMIP,,OWD,23.9545,121.1759,1263
TSMIP,,PCNP,27.9054,118.518,250
TSMIP,,PCY,25.628,122.0799,102
TSMIP,,PHUB,23.5114,119.5801,15
TSMIP,,PNG,23.5652,119.5636,19
TSMIP,,PNTK,26.9784,118.972,850
TSMIP,,PTMZ,25.0411,119.119,25
TSMIP,,PTSB,24.4469,120.7048,202
TSMIP,,PTTC,25.5,119.77,0
TSMIP,,RLNB,23.8911,120.3594,-60
TSMIP,,SANB,24.3978,120.9858,1354
TSMIP,,SBCB,24.7924,120.9854,126
TSMIP,,SCK,23.1467,120.0865,36
TSMIP,,SCL,23.1735,120.2017,7
TSMIP,,SCS,22.8856,120.4938,70
TSMIP,,SCZ,22.3703,120.6282,73
TSMIP,,SEB,21.9009,120.8552,32
TSMIP,,SGL,22.7237,120.4985,30
TSMIP,,SGS,23.0804,120.5908,278
TSMIP,,SHH,23.0213,120.3479,86
TSMIP,,SHUL,23.7875,121.5627,35
TSMIP,,SHWA,23.0214,120.3478,99
TSMIP,,SLBB,24.7538,121.6356,490
TSMIP,,SLG,22.9934,120.6463,255
TSMIP,,SLIU,22.2162,120.799,197
TSMIP,,SMG,22.7054,120.6448,145
TSMIP,,SML,23.8813,120.9083,1015
TSMIP,,SMS,22.0204,120.837,53
TSMIP,,SNJ,22.7533,120.3352,21
TSMIP,,SNS,23.2198,120.4973,156
TSMIP,,SNW,21.9598,120.7496,55
TSMIP,,SPT,22.6782,120.4878,25
TSMIP,,SSD,22.7443,120.6402,148
TSMIP,,SSH,23.136,120.288,13
TSMIP,,SSLB,23.7875,120.954,450
TSMIP,,SSP,22.4835,120.5681,16
TSMIP,,STY,23.1608,120.7655,640
TSMIP,,STYH,23.1794,120.7811,645
TSMIP,,SXFK,26.3989,117.645,414
TSMIP,,SXI1,25.0942,121.8754,745
TSMIP,,SYNB,23.2482,120.9862,2352
TSMIP,,SZP,17.55,120.45,100
TSMIP,,TAI,22.9952,120.197,13
TSMIP,,TAI1,23.0379,120.2364,8
TSMIP,,TAP,25.0376,121.5139,16
TSMIP,,TAP001,25.0376,121.5139,16
TSMIP,A002,TAP002,25.1258,121.4669,10
TSMIP,A003,TAP003,25.086,121.4571,11
TSMIP,A004,TAP004,25.1052,121.4828,5
TSMIP,,TAP005,25.1053,121.5152,4
TSMIP,A006,TAP006,25.094,121.5152,8
TSMIP,A007,TAP007,25.0735,121.5168,9
TSMIP,A008,TAP008,25.074,121.552,6
TSMIP,A009,TAP009,25.0794,121.5811,12
TSMIP,A010,TAP010,25.0652,121.4779,7
TSMIP,,TAP011,25.0565,121.4967,11
TSMIP,,TAP012,25.0542,121.5168,10
TSMIP,A013,TAP013,25.0565,121.5337,14
TSMIP,A014,TAP014,25.0565,121.5522,16
TSMIP,A015,TAP015,25.0504,121.5794,14
TSMIP,A016,TAP016,25.0616,121.4311,27
TSMIP,,TAP017,25.0517,121.4558,10
TSMIP,,TAP019,25.0367,121.496,10
TSMIP,A020,TAP020,25.0376,121.5344,14
TSMIP,A021 ,TAP021,25.035459,121.551959,21
TSMIP,,TAP022,25.0312,121.563,26
TSMIP,A024,TAP024,25.0192,121.4747,14
TSMIP,A025,TAP025,25.0228,121.498,11
TSMIP,A026,TAP026,25.0157,121.5114,17
TSMIP,,TAP027,24.9995,121.502,20
TSMIP,,TAP028,25.0035,121.517,17
TSMIP,,TAP029,25.007,121.5353,21
TSMIP,A030,TAP030,24.9979,121.5387,21
TSMIP,,TAP031,25.0202,121.549,17
TSMIP,A032,TAP032,24.9996,121.4828,18
TSMIP,,TAP033,24.9787,121.5382,25
TSMIP,A034,TAP034,24.9536,121.5391,48
TSMIP,,TAP035,24.9223,121.5463,66
TSMIP,A036,TAP036,24.9023,121.5535,74
TSMIP,,TAP037,25.0343,121.4416,11
TSMIP,A038,TAP038,25.0224,121.4186,16
TSMIP,A039,TAP039,24.935,121.3696,43
TSMIP,,TAP040,25.1727,121.4417,30
TSMIP,,TAP041,25.1816,121.4243,13
TSMIP,,TAP042,25.1255,121.464,42
TSMIP,A043,TAP043,24.9897,121.4181,20
TSMIP,,TAP044,24.9749,121.4024,27
TSMIP,,TAP045,25.1094,121.8231,93
TSMIP,A046,TAP046,25.1024,121.7771,47
TSMIP,A047,TAP047,24.9519,121.3446,59
TSMIP,A049,TAP049,25.1469,121.4454,19
TSMIP,,TAP050,25.1499,121.4042,13
TSMIP,A051,TAP051,25.0997,121.4493,17
TSMIP,A052,TAP052,25.0801,121.3897,249
TSMIP,A053,TAP053,24.959576,121.525064,22
TSMIP,A054,TAP054,24.9975,121.4418,15
TSMIP,,TAP055,25.1649,121.4489,19
TSMIP,A056 ,TAP056,25.162206,121.544648,617
TSMIP,A057,TAP057,25.0799,121.6942,20
TSMIP,,TAP058,25.125,121.722,51
TSMIP,A059,TAP059,25.1558,121.6936,73
TSMIP,A060,TAP060,25.155,121.7303,54
TSMIP,A061,TAP061,25.1316,121.7608,45
TSMIP,A063,TAP063,25.1055,121.7382,47
TSMIP,A065,TAP065,25.1493,121.7733,26
TSMIP,A066,TAP066,25.1828,121.5293,834
TSMIP,,TAP067,24.9779,121.5922,292
TSMIP,,TAP069,25.0068,121.9972,122
TSMIP,,TAP070,25.1218,121.9197,39
TSMIP,A071,TAP071,25.0017,121.6167,45
TSMIP,A072,TAP072,24.9906,121.6587,111
TSMIP,,TAP073,25.0074,121.6885,140
TSMIP,,TAP074,24.9529,121.6366,533
TSMIP,A075,TAP075,25.0277,121.7366,228
TSMIP,,TAP076,25.0435,121.7782,182
TSMIP,,TAP077,25.0625,121.8512,98
TSMIP,A078,TAP078,25.0336,121.8667,36
TSMIP,,TAP079,25.0219,121.9147,25
TSMIP,,TAP080,25.017,121.9488,13
TSMIP,A081 ,TAP081,25.01647186,121.9887238,5
TSMIP,A082 ,TAP082,25.055012,121.925822,15
TSMIP,A083,TAP083,25.258,121.5027,73
TSMIP,A084,TAP084,25.2226,121.6373,13
TSMIP,A085,TAP085,24.9383,121.7122,205
TSMIP,,TAP086,24.9504,121.5755,127
TSMIP,,TAP087,25.1015,121.4234,104
TSMIP,,TAP088,25.0377,121.586,23
TSMIP,,TAP089,25.0248,121.5677,18
TSMIP,A090 ,TAP090,25.05586052,121.6029739,15
TSMIP,,TAP091,25.0602,121.5905,15
TSMIP,,TAP092,25.0638,121.5645,12
TSMIP,,TAP093,25.0842,121.566,13
TSMIP,,TAP094,25.1407,121.4831,50
TSMIP,,TAP095,25.1337,121.4995,15
TSMIP,,TAP096,25.1185,121.5048,9
TSMIP,A097 ,TAP097,25.01791763,121.5379181,30
TSMIP,,TAP098,25.1005,121.5477,41
TSMIP,,TAP1,25.0377,121.5138,-65
TSMIP,,TAP100,25.0337,121.5202,15
TSMIP,A101 ,TAP101,25.000776,121.584595,32
TSMIP,A103,TAP103,25.0715,121.7814,728
TSMIP,,TAP104,25.154,121.7397,92
TSMIP,,TAP105,25.0354,121.9256,20
TSMIP,,TAP106,25.1345,121.4727,80
TSMIP,A107,TAP107,25.1328,121.7407,9
TSMIP,,TAP109,25.0408,121.5692,10
TSMIP,,TAP111,25.1304,121.7462,11
TSMIP,A112,TAP112,25.6281,122.0798,102
TSMIP,,TAP113,24.9818,121.6892,494
TSMIP,,TAP114,25.2021,121.6606,17
TSMIP,A115,TAP115,24.9899,121.465,18
TSMIP,,TAP117,25.0142,121.5395,16
TSMIP,A118 ,TAP118,25.11979,121.47317,5
TSMIP,,TAP119,24.9834,121.5415,24
TSMIP,A120 ,TAP120,25.03067,121.41613,20
TSMIP,,TAP121,25.1285,121.7839,77
TSMIP,,TAP122,25.2724,121.6078,55
TSMIP,,TAP123,25.2878,121.5886,21
TSMIP,A124,TAP124,24.8637,121.5534,146
TSMIP,A125,TAP125,25.0678,121.6549,18
TSMIP,,TAP126,25.001,121.4537,11
TSMIP,A127,TAP127,24.9719,121.8255,399
TSMIP,A128,TAP128,25.1644,121.4492,21
TSMIP,A129,TAP129,24.7772,121.5024,409
TSMIP,A130,TAP130,25.1623,121.5446,616
TSMIP,A131,TAP131,25.0582,121.6101,12
TSMIP,,TAP132,25.1905,121.7842,9
TSMIP,,TAP133,25.0743,121.4272,196
TSMIP,A134,TAP134,25.034945,121.86295,27
TSMIP,,TATO,24.9735,121.4971,-5
