EQ_ID,p_picks,pgv_time_window,predict,answer,latitude,longitude,elevation,station_name,year,month,day,hour,minute,second,intensity,epdis (km),pga_z,pga_ns,pga_ew,record_time (sec),file_name,instrument_code,start_time,sta_angle,quality_control,p_pick_sec,p_arrival_abs_time,pga,pga_time,pgv,pgv_time_file,Vs30,depth,magnitude,nsta,nearest_sta_dist (km),event_lat,event_lon
24721.0,1001.0,1710.0,-1.5046937,-3.1254359717310445,24.4259,121.749,123.0,ILA050,2016,1,5,2,35,55.34,3,15.02,3.92,11.78,11.02,120.0,F0800500.SMT, SMTA,20160100000000.0,260,y,60.17499924,2016-01-05 02:36:00.291,-1.3116618796609212,12745.0,-3.0624522258078635,12761.0,626.57,23.08,3.58,9,15.0,24.448666666666668,121.895
24721.0,1038.0,1708.0,-1.6377469,-2.665628835915322,24.5757,121.8439,48.0,ILA060,2016,1,5,2,35,55.34,3,14.99,9.62,8.78,13.54,120.0,D0600500.SMT, SMTA,20160100000000.0,340,y,60.26499939,2016-01-05 02:36:00.479,-1.0126122126680126,12688.0,-2.632187464943373,12704.0,678.12,23.08,3.58,9,15.0,24.448666666666668,121.895
24721.0,1064.0,1778.0,-1.2396069,-2.440487962432976,24.5925,121.8535,11.0,ILA007,2016,1,5,2,35,55.34,4,16.48,8.42,36.32,14.28,46.0,06400500.DBL, CVA ,20160100000000.0,345,y,16.51000023,2016-01-05 02:36:00.611,-0.6732782233990191,3981.0,-2.4086058069835747,3997.0,432.35,23.08,3.58,9,15.0,24.448666666666668,121.895
24721.0,1073.0,1797.0,-1.2134055,-2.706303610209967,24.5972,121.8573,8.0,ILA068,2016,1,5,2,35,55.34,3,16.89,6.52,14.08,16.42,120.0,D2900500.SMT, SMTA,20160100000000.0,347,y,60.53499985,2016-01-05 02:36:00.651,-0.9770501028996716,12797.0,-2.674248650992735,12812.0,617.22,23.08,3.58,9,15.0,24.448666666666668,121.895
24721.0,1073.0,1776.0,-1.5504987,-2.906057618072916,24.6025,121.8723,16.0,MND014,2016,1,5,2,35,55.34,3,17.19,7.08,11.78,20.86,45.0,05900501.DBL, CVA ,20160100000000.0,352,y,16.32500076,2016-01-05 02:36:00.652,-1.0415870356570909,3933.0,-2.847127982123978,3949.0,291.55,23.08,3.58,9,15.0,24.448666666666668,121.895
24721.0,1084.0,1803.0,-1.6150442,-2.792856619362985,24.5972,121.8407,23.0,ILA031,2016,1,5,2,35,55.34,3,17.34,8.94,14.7,11.88,45.0,08500500.CVA, CVA ,20160100000000.0,341,y,16.52499962,2016-01-05 02:36:00.707,-0.9899480698777046,3989.0,-2.7390817016089395,4005.0,657.39,23.08,3.58,9,15.0,24.448666666666668,121.895
24721.0,1107.0,1857.0,-1.1493087,-2.6030409771951164,24.6037,121.8325,21.0,TRB041,2016,1,5,2,35,55.34,3,18.3,3.9,8.76,10.42,45.0,02000500.CVA, CVA ,20160100000000.0,340,y,15.60499954,2016-01-05 02:36:00.822,-1.1372711725323512,3835.0,-2.6174913868598733,3853.0,287.83,23.08,3.58,9,15.0,24.448666666666668,121.895
24734.0,1001.0,2085.0,-1.002548,-2.0381405405492807,23.475789,121.505533,23.0,HWA003,2016,1,11,4,52,57.55,4,5.31,9.0,29.68,27.06,52.0,16801100.CVA, CVA ,20160100000000.0,331,y,15.32499981,2016-01-11 04:53:03.261,-0.5368517186636687,4074.0,-2.0198877805058437,4132.0,1538.03,33.15,5.25,91,5.3,23.433833333333332,121.53066666666666
24734.0,1006.0,2044.0,-1.0243706,-2.083292222674555,23.483,121.5116,11.0,HWA066,2016,1,11,4,52,57.55,4,5.78,14.66,28.08,34.14,48.0,12301100.CVA, CVA ,20160100000000.0,340,y,15.44499969,2016-01-11 04:53:03.289,-0.5168970418317675,4013.0,-2.0681632078546275,4091.0,428.22,33.15,5.25,91,5.3,23.433833333333332,121.53066666666666
24734.0,1032.0,2660.0,-0.846883,-1.6779642161568795,23.452,121.3936,97.0,HWA037,2016,1,11,4,52,57.55,4,14.14,12.0,32.5,24.04,203.7,38301100.MNS, NANO,20160100000000.0,278,y,59.22499847,2016-01-11 04:53:03.416,-0.4916863295169437,13437.0,-1.680621158017114,13457.0,466.53,33.15,5.25,91,5.3,23.433833333333332,121.53066666666666
